Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version
26.9594
26.7654
26.7037
26.7236
26.7164
26.6688
26.6563
26.6871
26.708
26.6902
