Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,SymGS,vanilla_version_normi/norm0: 0.000980585
145.386
145.397
145.336
145.33
145.46
145.702
146.273
146.22
146.054
146.162
