Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version_normi/norm0: 1
9101.14
9112.1
9116.68
9115.62
9124.6
9119.4
9119.94
9119.57
9118.8
9117.03
