Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version
6760.77
6773.18
6759.14
6760.58
6755.63
6757.3
6756.73
6761.54
6760.17
6761
