Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version
3.79264
3.79984
3.79002
3.73904
3.72614
3.72026
3.73629
3.73434
3.73834
3.76925
