Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version
6074.72
6071.34
6088.27
6069.65
6070.89
6085.65
6073.38
6068.97
6072.92
6085.93
