Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.8348
95.7997
95.8295
95.6526
95.8114
95.7621
95.7786
95.7936
95.814
95.8189
