Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
21.0666
21.133
21.0514
21.0682
21.0987
21.0601
21.1096
21.0557
21.1028
21.051
