Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,MG,vanilla_version
30.5257
30.2777
30.1411
30.2004
30.1765
30.2226
30.261
30.2514
30.2199
30.1596
