Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version
124.615
124.531
124.366
124.407
124.425
124.332
124.282
124.259
124.495
124.424
