Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version
8.83517
8.79901
8.8528
8.82659
8.83466
8.82966
8.82832
8.84381
8.83456
8.84531
