Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1088.4
1088.99
1088.78
1088.35
1088.67
1088.29
1088.55
1088.52
1088.97
1088.81
