Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG,vanilla_version
259.061
258.789
258.736
258.721
258.254
258.618
258.678
258.553
258.713
258.574
