Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version
9120.42
9135.96
9123.1
9139.51
9118.6
9141.21
9120.31
9139.95
9123.61
9138.47
