Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version
5.29482
5.27296
5.23494
5.21936
5.18269
5.22163
5.17354
5.19443
5.18755
5.17635
