Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,MG,vanilla_version
205.39
205.187
204.59
204.387
205.137
205.218
204.542
204.49
205.155
205.317
