Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,MG,vanilla_version
4.30723
4.24355
4.21299
4.21158
4.20922
4.22493
4.18781
4.17453
4.20691
4.14522
