Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,MG,vanilla_version
7.21619
7.18128
7.1647
7.09747
7.1017
7.02742
7.05885
7.05459
7.05344
7.07101
