Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version
820.933
821.158
820.965
821.45
820.7
820.882
820.865
821.149
821.592
820.523
