Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG_noPreconditioning,vanilla_version
9117.99
9111.79
9116.61
9116.66
9116.83
9115.01
9120.19
9119.78
9121.08
9116.35
