Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,CG_noPreconditioning,vanilla_version
21.0014
21.0835
21.0393
21.0026
21.0072
21.034
20.9419
21.0325
21.006
21.0046
