Striped Box coloring (coloringBox 3x3x3),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version
95.4906
95.6992
95.6204
95.6251
95.6186
95.6131
95.6556
95.6919
95.7076
95.1416
