Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_normi/norm0: 1
0.23136
0.22656
0.228768
0.220992
0.213568
0.214368
0.224064
0.222016
0.213664
0.224288
