Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,512,512,512,3609741304,CG,vanilla_version
89853
89907.4
89858.5
89881.3
89863.1
89883.4
89844.8
89895.1
89825.4
89888.8
