Striped Box coloring (COR stored on GPU) (coloringBox 3x3x3),GH200,3d_27pt,256,256,256,449455096,CG_noPreconditioning,vanilla_version
1087.14
1086.75
1087.32
1087.84
1087.54
1088.04
1088.09
1088.27
1087.49
1087.14
