Striped Box coloring (coloringBox: 3x3x3) (coop_num: 16),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2205
16.2166
16.2136
16.2276
16.2181
16.2182
16.3157
16.2231
16.2218
16.2284
16.2305
