Striped Box coloring (coloringBox: 3x3x3) (coop_num: 32),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1069.26
7.01648
7.01443
7.01978
7.01837
7.01341
7.02326
7.05898
7.06131
7.06115
7.05824
