Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2205
13.5419
12.0666
12.0679
12.0445
12.0572
12.0567
12.0761
12.0562
11.403
11.3492
