Striped Box coloring (coloringBox: 3x3x3) (coop_num: 16),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 518.228
1.58531
1.55312
1.57034
1.55277
1.57664
1.58374
1.57178
1.5625
1.58294
1.57894
