Striped Box coloring (coloringBox: 3x3x3) (coop_num: 32),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 518.228
2.34192
2.32653
2.35526
2.35827
2.35158
2.36067
2.35466
2.35507
2.35373
2.35248
