Striped Box coloring (coloringBox: 3x3x3) (coop_num: 32),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 37.4567
0.705536
0.699392
0.703488
0.703488
0.714752
0.697344
0.702464
0.698496
0.702464
0.697344
