Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 746.185
2.14531
2.14352
2.14317
2.14154
2.14794
2.1528
2.14048
2.13734
2.13894
2.14672
