Striped Box coloring (coloringBox: 3x3x3) (coop_num: 8),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2205
12.8693
12.7948
12.8194
12.8043
12.8006
12.7987
12.7967
12.8143
12.8121
12.8804
