Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1547.54
6.48435
6.46925
6.48822
6.47437
6.47811
6.48234
6.47581
6.4759
6.63046
6.49485
