Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version
1.34144
1.33949
1.34032
1.34042
1.34048
1.33942
1.34029
1.34042
1.34038
1.33942
