Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version
82.0229
81.9838
82.0852
82.0547
81.9998
81.973
81.9452
81.9994
82.0205
82.1336
