Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version
2724.98
2724.89
2724.95
2724.92
2724.98
2724.84
2724.86
2725.16
2724.7
2724.84
