Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version
1362.23
1362.36
1362.42
1362.44
1362.58
1362.45
1362.41
1362.32
1362.28
1362.31
