Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version
5450.72
5450.27
5450.42
5450.41
5450.71
5450.68
5451.6
5450.74
5450.98
5450.79
