Banded Preprocessed (2 rows while preprocessing),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version
10.4786
10.4786
10.4787
10.4776
10.4786
10.4786
10.4796
10.4786
10.4776
10.4786
