Striped Box coloring (coloringBox: 6x6x6) (coop_num: 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2104.74
19.4695
19.4612
19.5038
19.4821
19.6961
19.5372
19.5329
19.5267
19.5258
19.5233
