Striped Box coloring (coloringBox: 6x6x6) (coop_num: 4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 719.922
7.34579
7.4
7.392
7.39856
7.39539
7.40483
7.41888
7.40106
7.39843
7.39578
