Striped Box coloring (coloringBox: 4x4x4) (coop_num: 4),41-44,3d_27pt,128,64,64,13790200,SymGS,vanilla_version_L2 Norm: 747.113
2.46278
2.4417
2.43939
2.44739
2.4553
2.47917
2.43926
2.46275
2.4775
2.46589
