Striped Box coloring (coloringBox: 7x7x7) (coop_num: 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 68.2336
6.53824
6.51571
6.53414
6.53619
6.53414
6.54746
6.51674
6.528
6.52698
6.52083
