Striped Box coloring (coloringBox: 7x7x7) (coop_num: 4),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1456.26
12.3821
12.3794
12.3612
12.3739
12.3973
12.4207
12.3472
12.4006
12.3762
12.3643
