Striped Box coloring (coloringBox: 9x9x9) (coop_num: 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 480.371
22.3095
22.3378
22.3121
22.2992
22.3617
22.3226
22.337
22.3108
22.32
22.3221
