Striped Box coloring (coloringBox: 4x4x4) (coop_num: 4),41-44,3d_27pt,8,8,8,10648,SymGS,vanilla_version_L2 Norm: 35.2006
1.33939
1.31891
1.31277
1.31584
1.31482
1.33734
1.31584
1.31072
1.33629
1.31274
