Striped Box coloring (coloringBox: 5x5x5) (coop_num: 4),41-44,3d_27pt,64,64,64,6859000,SymGS,vanilla_version_L2 Norm: 509.547
4.20605
4.22374
4.22739
4.22099
4.22509
4.23309
4.23216
4.22634
4.23914
4.23971
