Striped Box coloring (coloringBox: 8x8x8) (coop_num: 4),41-44,3d_27pt,32,32,32,830584,SymGS,vanilla_version_L2 Norm: 168.685
11.1561
10.9581
10.9734
10.9882
10.9646
10.9553
10.9835
10.9563
10.9636
10.9729
