Striped Box coloring (coloringBox: 5x5x5) (coop_num: 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1049
5.35152
5.35789
5.36499
5.37846
5.38259
5.37619
5.37091
5.3696
5.3513
5.39149
