Striped Box coloring (coloringBox: 5x5x5) (coop_num: 4),41-44,3d_27pt,128,128,128,55742968,SymGS,vanilla_version_L2 Norm: 1490.41
8.9439
8.96442
8.96093
8.93642
8.94157
8.61424
8.49965
8.51082
8.50384
8.52138
