Striped Box coloring (coloringBox: 4x4x4) (coop_num: 4),41-44,3d_27pt,16,16,16,97336,SymGS,vanilla_version_L2 Norm: 69.6095
1.3865
1.37834
1.3753
1.39059
1.38035
1.3824
1.37523
1.37421
1.37421
1.37523
