Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,256,128,128,111777784,SymGS,vanilla_version_L2 Norm: 2205
12.8948
12.1675
12.0506
12.0446
12.0477
11.8643
11.3531
11.3602
11.3475
11.362
