Striped Box coloring (coloringBox: 8x8x8) (coop_num: 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1014.2
15.8855
15.981
16.0476
16.0284
16.0664
16.0936
16.0636
16.0635
16.0947
16.0388
