Striped Box coloring (coloringBox: 3x3x3) (coop_num: 4),41-44,3d_27pt,128,128,64,27725560,SymGS,vanilla_version_L2 Norm: 1069.22
3.7855
3.80099
3.79146
3.79258
3.79072
3.78749
3.79171
3.79069
3.7945
3.79917
