Banded explicit Shared Memory (rows_per_SM pow2 1024 threads 2x physical cores),41-44,3d_27pt,16,16,16,97336,SPMV,align number of rows per SM with the number of threads per block
0.093152
0.09104
0.090112
0.088064
0.089088
0.08896
0.088064
0.088064
0.088064
0.088064
