Banded explicit Shared Memory (rows_per_SM pow2 1024 threads 2x physical cores),41-44,3d_27pt,128,128,128,55742968,SPMV,align number of rows per SM with the number of threads per block
2.16038
2.07155
2.13082
2.18931
2.10637
2.0992
2.08179
2.06128
2.09818
2.12173
