Banded explicit Shared Memory (rows_per_SM pow2 1024 threads 2x physical cores),41-44,3d_27pt,8,8,8,10648,SPMV,align number of rows per SM with the number of threads per block
0.040512
0.034816
0.033792
0.033792
0.034688
0.033664
0.034816
0.034816
0.033792
0.033664
