Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG_noPreconditioning,vanilla_version_normi/norm0: 0.473484
95.3925
95.3552
95.5643
95.6069
95.5801
95.4706
95.5644
95.551
95.5364
95.4906
95.5053
95.4696
95.5088
95.4776
95.5047
95.5306
95.5099
95.5684
95.5023
95.5716
95.6342
95.4431
95.4916
95.4765
95.543
