Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,CG_noPreconditioning,vanilla_version_normi/norm0: 0.238672
8.73312
8.78528
8.78934
8.75562
8.72826
8.76557
8.73117
8.79098
8.76912
8.75363
8.76957
8.77178
8.76339
8.75917
8.74653
8.72915
8.74451
8.74749
8.72576
8.78547
8.75446
8.75133
8.74851
8.75584
8.76128
