Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,128,128,128,55742968,CG,vanilla_version_normi/norm0: 0.473484
7079.35
7080.76
7079.45
7079.89
7079.07
7079.99
7079.79
7079.86
7078.47
7079.18
7079.11
7078.51
7064.6
7078.79
7072.2
7080.95
7080.78
7080.05
7078.44
7083.18
7079
7080.33
7079.57
7080.75
7079.94
