Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,32,32,32,830584,CG,vanilla_version_normi/norm0: 0.238672
433.4
433.516
432.876
433.134
433.184
433.116
433.158
432.998
433.478
432.639
433.046
433.369
433.487
433.042
432.652
432.806
433.243
432.908
433.01
433.024
433.163
432.813
433.027
433.533
432.877
