Striped coloring (COR Format already stored on the GPU),GH200,3d_27pt,256,256,256,449455096,CG,vanilla_version_normi/norm0: 0.616027
29614.2
29618
29614.9
29468.8
29549
29617
29538.6
29619.6
29474.8
29605.2
29603.8
29604.5
29448.4
29610.1
29496.5
29538.9
29611.8
29613.3
29613.5
29543.9
29611
29518.5
29586.4
29508.8
29606.1
