Striped coloring (storing nothing),GH200,3d_27pt,32,32,32,830584,MG,vanilla_version_normi/norm0: 0.238672
19.3068
19.1148
19.1294
19.1764
19.0837
19.1643
19.1351
19.068
19.2102
19.1093
19.0867
19.1911
19.1194
19.0887
19.1181
19.0621
19.1844
19.1117
19.2096
19.2219
19.1833
19.2454
19.1052
19.1532
19.1985
